CONT,ID,ISO,NAME,ISONAME,region,pop,popAGR,popUrban,totalFR,AdolescentFPpct,AdolescentFPyear,AdultLiteracypct,MaleSchoolpct,FemaleSchoolpct,GNI,PopPovertypct,PopPovertyYear
91,180,44,BAHAMAS,BAHAMAS,AMR,323063,0.013369958554,0.9,2.3,,,,0.85,0.88,16140,,
91,227,84,BELIZE,BELIZE,AMR,269736,0.02135438414,0.486,3.1,0.125,1998,0.769,0.98,1,6510,,
91,260,124,CANADA,CANADA,AMR,32268243,0.0087137425128,0.811,1.5,0.065,1997,,1,1,30660,,
91,295,188,COSTA RICA,COSTA RICA,AMR,4327228,0.020412388224,0.617,2.2,0.174,1999,0.958,0.9,0.91,9530,0.02,2000
91,300,192,CUBA,CUBA,AMR,11269400,0.0034270319283,0.76,1.6,0.16,2000,0.998,0.96,0.95,,,
91,320,214,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,AMR,8894907,0.013436630772,0.601,2.7,0.102,1999,0.877,0.99,0.94,6750,,1998
91,330,222,EL SALVADOR,EL SALVADOR,AMR,6880951,0.017800614745,0.601,2.8,,,0.797,0.9,0.9,4980,0.311,2000
91,415,320,GUATEMALA,GUATEMALA,AMR,12599059,0.021176968439,0.472,4.5,0.121,1997,0.691,0.89,0.86,4140,0.16,2000
91,420,332,HAITI,HAITI,AMR,8527777,0.012959128698,0.388,3.9,0.085,1998,0.519,,,1680,,
91,430,340,HONDURAS,HONDURAS,AMR,7204723,0.022814101346,0.464,3.6,,,0.8,0.87,0.88,2710,0.207,1999
91,487,388,JAMAICA,JAMAICA,AMR,2650713,0.0060713393653,0.522,2.4,,,0.876,0.94,0.95,3630,,2000
91,595,484,MEXICO,MEXICO,AMR,107029360,0.013402629944,0.76,2.3,,,0.903,0.99,1,9590,0.099,2000
91,665,558,NICARAGUA,NICARAGUA,AMR,5486685,0.018472706809,0.581,3.2,0.185,1999,0.767,0.86,0.85,3300,0.451,2001
91,710,591,PANAMA,PANAMA,AMR,3231502,0.01746947253,0.578,2.7,0.179,2000,0.919,1,0.99,6870,0.072,2000
91,763,659,SAINT KITTS/NEVIS,SAINT KITTS AND NEVIS,AMR,42696,0.0046636327043,0.319,2.4,,,,,,11190,,
91,926,840,UNITED STATES,UNITED STATES,AMR,298212895,0.0091832420353,0.808,2,0.116,2000,,0.92,0.93,39710,,
92,149,28,ANTIGUA/BARBUDA,ANTIGUA AND BARBUDA,AMR,81485,0.014752684466,0.384,2.3,,,,,,10360,,
92,150,32,ARGENTINA,ARGENTINA,AMR,38747148,0.0097164900185,0.906,2.3,0.133,2000,0.972,,,12460,0.033,2001
92,184,52,BARBADOS,BARBADOS,AMR,269556,0.0025762890673,0.529,1.5,,,0.997,1,1,15060,,
